popularity,streams
62,8711185
73,35303774
65,24031595
64,14826289
66,28473373
75,79928956
68,23423215
73,37732623
71,40119812
72,35583725
69,25384591
70,36730916
63,14943522
66,16016847
70,33026495
64,8284157
56,6322115
76,98979199
68,17221004
67,18393387
65,21446019
70,43513056
82,856467894
60,9529974
68,16348856
64,8183046
69,25968425
67,18463569
62,9453491
82,1018898776
70,46532602
34,481179
61,12437237
74,41881005
57,7484280
60,13859729
68,18253930
70,42012586
66,26394108
71,48898953
54,4061209
57,7085873
60,8695298
72,46942846
72,36684571
58,7054721
65,26810350
57,6206115
68,15979170
72,38384599
66,27146889
78,95340946
64,10688624
58,7890466
62,13347527
63,11650669
65,18784860
65,22979051
64,9255600
57,5091640
75,99945388
49,3168090
60,12779090
72,41521367
61,8446830
62,9454105
72,44320801
64,10563165
55,6663551
68,21507026
58,7111955
81,1060335074
64,12967152
80,865336123
71,48839575
66,16276345
66,29724649
74,37725229
74,35046448
64,8853783
58,7245389
62,12579785
76,89036458
59,7008969
68,17012734
62,13368832
63,12382923
52,4337935
70,47300480
58,6574425
45,4703637
67,18728138
51,4447822
65,19712218
71,41033162
56,6768311
65,17873492
63,9851572
58,6887776
58,7606434
67,26053553
63,11548183
70,37578518
66,24206880
63,11006398
66,25957553
59,7843330
0,6922
64,11097723
58,5521197
60,8812333
0,11546
68,22254883
59,6240833
60,10987790
55,6468375
52,4648277
65,16152695
57,6068674
69,21448268
59,6108323
61,12416474
56,7668091
64,10685845
56,7139703
66,20374928
0,10797
0,8103
60,13321074
71,35998814
61,13858438
56,7307173
55,6044973
59,7245536
67,27306806
59,7918965
58,6253411
53,4001133
53,4959271
69,27058223
54,5137886
0,12099
56,6402229
64,10626825
51,5389074
55,7163782
56,7357624
69,29221133
64,14007035
59,7156783
59,7580624
62,13642493
56,7205054
63,12923943
62,8806615
62,9982014
1,12915
0,14772
62,8328748
56,6879169
63,12092514
0,7086
49,3374859
73,40795747
15,66952
80,1101473336
75,53650269
75,54483771
73,43310336
77,51471648
77,88776324
74,41062019
72,45911037
79,90116269
72,34911964
69,18174699
73,30654808
80,1010141919
81,925363352
74,32762460
71,30395466
72,40838272
3,14241
76,73482350
75,51361304
69,28651823
63,13100664
5,26966
69,16805011
76,81496504
68,28650957
66,25270554
0,9650
69,22262643
0,12108
70,44749729
70,37528002
70,39101623
67,16369049
66,24256510
2,6535
62,9382475
66,16105002
69,16991514
70,47504770
64,14674027
73,37327464
62,10279330
78,52461078
65,24026222
71,30888881
68,29947852
66,25524465
71,42477269
64,13689847
71,47788451
71,41998881
66,15915649
62,12746363
71,49363148
0,12073
76,68508370
63,8474242
52,4285990
72,38450192
61,8701871
68,15807474
64,9121459
72,46896859
61,9762907
62,10394657
0,7080
64,9199926
64,8366509
68,18712007
64,9088467
75,95238098
63,12779694
63,10168761
60,12108047
0,8167
59,5778699
59,7517906
71,42841566
61,11425878
66,21554625
54,5320985
68,26828274
43,1313036
69,22295890
69,16595178
60,13174799
61,8569097
0,11752
56,7324180
75,87071362
75,65294753
71,48112847
0,7950
5,28729
61,8757273
66,24221453
57,7278985
65,20713173
55,7773300
60,11786011
0,7929
68,15694883
60,10844242
65,23127947
63,13021162
64,12875947
58,7114037
58,6588720
52,5291923
63,9453565
0,10160
60,12248768
64,13469480
60,12331465
39,782480
0,12558
0,10612
54,5596646
62,14029555
59,7495185
61,9819432
62,11330398
1,9319
65,25596869
63,11001810
56,6603382
65,24516602
74,40235811
56,6915594
66,17820969
69,28295766
68,21977465
70,36552204
64,11219864
58,5545996
57,6867160
67,17786924
59,5212386
69,25985492
70,49640639
0,12105
59,6456958
62,14604977
3,6121
62,9115209
56,6952010
56,6152298
0,6870
73,30624189
58,7989906
48,5200881
56,7617262
59,5204787
57,6515918
64,8931769
59,7813078
51,4645514
57,5000462
79,96315774
54,4422425
60,8840683
69,25030028
59,7348125
62,13088467
62,14304327
71,49014381
58,5972842
54,4523236
64,9083682
68,24712575
0,14266
54,5806786
70,35264393
56,5981360
62,14057502
66,15592224
53,5203622
55,6266218
48,5582157
58,7472954
57,6433668
56,6987508
63,8906974
48,5112949
65,15947090
57,6607328
63,11836561
56,5709117
59,7180053
56,7007151
55,5659118
69,28230942
55,7112523
75,65256202
47,3199836
61,8457858
55,5888825
80,897287535
1,5851
76,54759426
80,921887680
77,50850924
84,871685602
78,60334703
81,1125835449
1,13949
66,25925123
76,89063339
74,48195352
74,43447599
76,68191539
77,98654353
69,27911194
69,21145334
72,30055341
69,21657876
70,40734393
73,36254938
71,37846932
76,84909897
69,27952591
63,13471909
65,23598695
73,36345986
1,6629
67,29972800
66,26894751
65,17122106
69,18276829
76,94695332
76,79343485
69,23828806
71,34146092
4,8158
0,14384
0,14578
0,13367
64,13482352
66,21125262
65,26707205
71,43403382
73,37428153
53,4549784
69,22652187
63,11165713
62,13025366
66,29645965
66,27680762
71,31325654
55,7073544
55,5753340
74,44647266
75,73215029
69,23696847
0,14183
82,1164613364
65,29064153
74,39161981
62,9283234
61,12283722
67,28346834
65,20343765
74,48448555
66,17564754
63,11268220
74,44484534
65,24110535
59,7364607
59,7921058
69,24996106
65,23856174
61,10361711
0,5636
73,48344829
64,11679878
66,28409854
61,10740711
59,6661995
62,11904305
58,6738627
63,9496657
71,31309306
68,28046122
70,31835667
60,11657261
59,7860901
71,44946815
68,29816061
54,4496384
69,28402489
77,85167405
59,7033305
61,8596616
64,8404502
54,4721307
70,31667150
65,22014417
64,8012678
66,21439823
59,6637947
65,17875647
59,5525293
56,6593491
67,17417035
61,14719913
75,60841089
56,5196485
59,6032970
56,7308619
0,11992
70,35108489
56,7059657
53,4665030
57,7222452
60,10498234
59,5544151
57,6839091
54,5649225
62,14860600
53,5931275
73,46125670
0,14318
56,7974040
59,5297745
62,14259959
68,19271693
55,6074777
56,6910636
62,12332785
66,26831560
51,4834360
67,29064302
70,38974393
67,23460653
67,19445609
57,6292807
62,8535998
56,5070658
70,34381499
70,31937689
61,12513700
69,29493463
63,14281653
64,8474021
57,5271117
47,3748578
58,6572533
54,5761702
56,6292651
68,29834384
64,8049293
0,7391
61,11464130
73,42157738
52,4779002
56,6496300
62,8612025
1,9562
70,39463066
0,11799
56,6356045
58,5156526
58,5946308
61,11419561
56,7151501
61,9741159
57,5869224
58,7488939
59,7950177
55,5416827
64,10558428
62,10909673
0,10012
60,13580398
60,14915958
61,9572569
73,45199613
53,5136221
53,5299518
57,6755052
59,7216668
64,13934562
0,9126
59,5676556
44,1312663
53,4401858
66,16438486
65,24396594
60,11009800
67,27208231
52,5900707
55,6348260
55,6561761
58,7178922
53,5467198
53,4536264
61,10681214
76,74145312
87,1756763411
2,5727
82,1003555741
84,995486180
83,1126044693
77,54000006
71,48183594
77,81592020
69,21599696
76,75915854
75,74079948
84,817978350
72,45424614
70,36440456
73,48428862
69,18289387
83,1199806918
70,47270128
73,38211568
67,17556093
74,34785625
79,93299879
1,8790
0,6176
66,26059336
77,90721710
68,18796457
67,18021871
77,61012498
68,18227736
75,71128663
72,49772695
79,81722207
77,75413966
65,22784684
65,22286319
70,45255614
64,11165578
70,35958845
72,33082878
71,35272130
72,33482575
0,12753
67,18215463
65,19303528
75,62307686
0,13142
65,17331223
67,22450075
64,13747925
70,44722365
57,6385428
62,11861387
62,10250585
66,21073510
75,62120201
63,9801760
0,7280
72,42180388
64,13436063
66,24468555
68,17883317
62,9045338
56,7667063
70,35093628
79,98188188
62,8861126
73,44941899
65,19300138
0,10431
71,38900943
67,21205108
66,26374502
71,40070217
64,14357941
66,16548822
68,26865432
78,92418102
66,29929052
69,24965473
68,16796393
71,44593561
49,5407910
77,82443314
79,92170086
66,20512914
70,38837110
3,8608
61,12462180
69,24039891
0,14640
60,10595322
79,52523641
58,7386629
55,5431011
66,23674522
2,12806
0,14186
61,10435817
79,72510963
63,13981795
57,5151828
73,46960649
70,32932291
61,10211695
64,8745644
73,48124318
50,4543256
72,47933535
65,18138769
55,7901384
58,5964515
56,7210851
62,8939805
63,12242950
74,35038573
0,6610
1,10074
60,9470700
62,10572684
56,7369729
68,29723116
63,8106234
58,7270553
55,5849396
60,8387250
58,6189089
53,4802531
56,7508968
60,14786517
49,4913538
55,5243012
56,6354720
59,7878914
60,13374618
66,19676398
61,12048686
61,13321733
71,40638114
64,8070273
65,29620140
57,7782383
58,7027952
60,13373291
57,7176882
69,15550948
51,5466525
53,5407108
41,1439339
56,6379727
61,10996749
0,13725
64,12661567
68,29984197
56,7063647
70,48306618
56,7571053
54,4285694
58,6927808
58,5351623
58,7365340
71,36592975
77,86202062
63,10504453
0,9021
53,4639718
65,27990477
64,9665313
57,7715141
52,4372383
56,7201813
58,6880355
61,9614537
59,6033430
69,16382327
53,5372155
0,7428
0,8032
54,5868571
53,5841029
2,11723
57,6741785
2,7017
0,13575
62,14888274
64,8201211
55,6408279
58,6417963
53,5777913
42,932525
0,14483
68,28484183
0,7755
48,6077298
51,5326262
67,21535853
0,13295
53,4251910
57,6265339
87,1467164708
81,1094008789
50,4974109
84,994302089
79,53950858
56,6531307
69,20112627
84,935912356
79,94502410
71,44131645
69,29388998
69,19094727
73,44142778
74,40335383
71,37542397
78,68474378
83,1085307190
66,17875539
69,24148907
74,44240402
68,27680687
74,33808982
68,24881840
64,12308375
67,29635524
72,41527026
77,70573042
4,14707
69,26300520
0,7856
82,970896339
76,60425781
76,98559173
74,32200161
0,8174
78,79497332
63,11413957
75,91666761
0,11266
61,14150761
76,52710639
71,31729888
82,1174664893
62,14778206
69,15722004
76,75692684
7,22235
67,25837532
69,21855715
62,13609708
59,7304052
65,19424564
59,5031900
70,38732470
64,13439004
77,98554082
75,69557021
55,6636461
78,59120787
69,19612588
69,20424387
71,44829418
73,45191492
64,11737042
65,21844289
67,16773602
64,13441315
72,48960097
69,19715700
65,18766956
70,32131359
61,14849243
66,22387761
67,26535647
61,10319219
70,39054138
62,12515744
56,5459005
63,13304882
64,13320254
67,20282952
4,8575
64,11974829
52,4849360
0,5413
0,10221
71,36669245
56,5689302
62,10090899
72,42126668
1,7596
63,11444985
74,44774335
66,16639596
66,20648493
61,12350538
64,9001562
63,14998955
65,28170909
64,11140031
60,13349132
67,23144168
63,9276841
59,6515166
0,11793
72,40827387
64,11881873
63,12272230
63,11175398
1,5964
61,8283724
53,5439014
64,9957822
54,4934368
2,10287
54,5843143
67,25858249
62,10034305
65,23998987
2,12249
64,12621888
61,8394156
70,35864461
63,10290011
0,14519
60,10785720
71,43030758
60,8406415
77,57770949
71,48296910
60,8863340
61,11349576
62,14692134
69,25703598
66,20353814
56,7392823
65,17374880
59,6936648
60,10179901
68,18574723
67,17639334
68,17106903
60,9337592
55,6392074
49,5738650
73,33450516
51,4177312
61,14649551
60,14614776
52,4247671
62,14238004
73,45783603
66,20351778
49,5937465
58,7563993
57,6648006
53,5452771
53,4209078
60,9620996
59,6530567
69,17212527
59,5132545
55,6378645
62,10661122
54,5221210
57,5424352
58,5361179
61,9526544
60,11014662
79,64724986
60,11723182
0,10181
56,7697866
55,7811895
72,35870836
66,25693902
52,5941993
70,31860927
52,5306593
50,4702419
56,7964836
68,17939848
51,5538701
62,9651892
70,47167194
64,10377617
62,9015120
56,6265158
57,7718872
67,21042656
63,9961737
64,10798642
58,6456400
0,8041
54,4576848
54,5780924
69,15718383
57,6387451
58,5611889
58,6482881
83,998581202
85,968620554
66,27002295
85,896403159
86,1610186957
82,882403463
80,1042158352
75,79463302
84,954832645
82,1031609124
82,1063827622
79,99212709
84,1169583148
83,872414746
83,803869568
83,933152492
83,1173676909
74,45665872
74,42414220
80,1125849651
71,40241588
73,48196892
73,31856944
72,47310384
79,69709690
75,93892547
65,28832093
77,66249503
73,40260144
75,81090716
70,37736068
76,71511995
75,55821138
77,65125741
72,49567258
75,71768086
67,15598056
74,30395496
0,11897
67,28616070
75,70506517
73,48722155
46,4497494
67,19369485
73,39569012
71,31911203
69,20664372
77,92000330
67,27961977
73,45994447
72,48013784
71,48685002
62,12640161
78,98697131
78,69878067
64,13993038
70,41870323
75,75067521
60,13667601
71,40518912
62,11276658
67,25133287
69,25086439
74,49421168
62,9419551
61,11543431
70,38408192
68,27823743
66,17159062
57,5647389
73,45469406
79,86522849
41,945992
62,12979907
71,41856171
71,44296524
63,12423695
70,46136700
64,10337602
8,22915
58,5916226
72,30122821
73,46850260
62,8950635
63,9751925
61,8813770
69,15699818
73,43916477
74,45542927
65,24312524
71,47707351
73,39428649
67,24762753
66,23193367
66,20609746
76,59480689
0,7785
66,24333751
61,13011157
49,5308080
73,48936285
67,29634372
68,22805783
2,9138
70,45975128
61,13652735
72,45214707
45,5858593
58,7800549
66,17762804
67,19843059
59,7564957
57,7725365
62,9771021
73,44704045
70,46049821
66,15032531
0,5457
64,10062972
0,14396
66,21273682
71,30684450
80,929958146
61,14714888
70,44666873
67,25356803
52,4638383
59,7191305
62,10740420
62,10395289
59,6325685
70,41317337
59,7711002
0,7598
73,31574250
63,11900417
69,16183532
72,45999994
73,30244196
54,5484593
63,10873272
66,29339167
60,8291710
0,10446
59,5813570
63,13486288
65,21741388
56,7634986
64,10815684
58,7187426
71,39686021
67,27700147
62,12584469
66,25546032
64,9291759
68,20660006
64,8536715
63,14767840
50,5117316
65,24164930
45,6175583
64,8850718
66,25902843
52,5203859
54,5157111
72,49439783
57,7844437
61,13347996
55,7123731
63,13586159
61,9993052
66,18639449
0,12141
66,22494871
56,5292835
64,13019165
77,77780969
53,4806417
54,5410822
73,33695184
66,25870700
70,46487339
66,16204013
58,5336683
0,9765
43,848516
69,18834918
62,12198503
0,7916
60,11007045
65,27296710
66,21288761
66,23419758
71,46924413
57,6650305
53,5424804
59,6066378
52,4466418
62,14906911
73,48792713
92,3533041069
84,1037046684
88,1698830853
83,841060763
88,1305329676
80,1047324962
79,85022120
84,1047022061
76,95850113
75,65679599
82,932721425
88,1713210056
82,1063104361
81,992818027
72,33820501
71,40739895
73,32872173
73,38546401
75,91656654
70,49748013
70,33234244
82,1024639115
76,91610604
83,1027671859
65,16748425
69,22844243
80,1179373006
67,22564975
69,22246555
78,55301477
70,31207928
76,94768549
81,963423769
79,55427164
74,41159692
63,9878591
68,23274343
80,1083631383
67,23271005
70,39105260
66,20031910
69,27333356
64,11896820
70,37662417
55,5271966
74,46048388
69,19248782
56,6901324
72,30325964
69,19520413
76,86735874
70,42265354
68,22325590
53,5434046
54,5603062
68,29935979
65,23313277
66,24886508
73,45726240
74,36116992
63,13710690
67,20313194
74,34354529
66,29296786
59,5804788
68,17554425
58,5905746
75,83141127
70,47523867
74,31746421
61,10611227
0,14446
71,31586434
73,36294837
56,7158641
75,95867855
65,15382721
63,9903428
77,68944315
58,5613002
62,12962788
65,17164267
0,5901
74,48387189
62,14501641
70,31818023
69,25431533
63,14443196
74,39642336
66,15530474
56,5292096
72,48694476
71,32047894
59,5323572
76,90404859
70,44529547
59,7513495
66,19632719
52,5935584
68,25839926
55,6194459
48,4293755
0,9424
64,10425444
62,13318342
74,32717520
75,86404693
72,34632996
73,31855999
68,29454915
0,13557
66,16635878
71,40967634
58,6406584
48,5867126
66,22420051
59,7006473
59,6659031
61,12968246
57,5433614
55,7486296
56,7410090
64,9646670
55,5183936
66,15341551
52,4223613
59,6306605
61,10890271
59,7588034
60,8427774
66,15015063
69,17136932
55,6753796
74,30254446
73,36412304
1,10674
58,6146191
0,8444
58,6988966
0,5751
60,13224612
63,14559057
52,5704323
59,6945304
62,11856754
62,10794659
67,19310198
63,14659118
55,7303338
61,12667989
76,70875117
73,32456130
65,15876405
0,6259
56,7986270
63,14899155
53,5428927
0,5857
70,42442212
59,5365017
64,14026322
63,11366884
50,4567555
66,25943078
0,7935
68,24833856
63,14451557
58,7169465
58,6868334
55,7178169
58,5829764
61,11303752
58,5042677
58,6219142
45,6465148
71,48463828
60,14426892
53,4521865
66,16035443
65,29895731
59,6532763
59,5422387
55,7379596
56,5431431
62,13555954
54,4937883
64,12093630
59,6946805
11,38145
71,48811158
0,8262
65,28465404
68,15029999
55,5556241
0,8115
63,9511735
68,26962738
55,6707469
55,5873662
50,4045781
84,1011978887
81,1011224087
84,1162081572
81,1056327195
86,1735795400
72,39954835
85,1141691013
76,89606396
84,948822619
79,92155827
70,48846553
71,42333053
74,32223320
71,31047575
78,68288216
73,45654048
77,97118109
70,40799866
78,78328822
78,84173580
0,10396
69,20760597
74,30329605
81,1149152256
78,89543114
71,41032515
68,27368291
74,41141886
70,31616619
75,64539412
70,49138116
71,42404346
79,93539644
72,40670695
19,72368
17,95751
78,75905493
72,33169422
57,7214422
74,36207594
78,62880990
66,27346913
67,24475137
74,39486195
73,39432928
73,31526041
69,28710104
0,12795
81,1025873079
72,48682508
77,53835988
74,36982945
66,24209131
59,7463554
79,63904449
66,21582068
45,4261316
67,21250679
65,17163407
54,4436972
52,5745931
75,67641585
74,34837097
81,958959324
75,85363248
68,28840160
73,36946574
67,15700209
66,29719513
71,36256527
69,29671903
69,26606251
0,13579
66,25606360
68,16308584
65,23832790
69,17260433
68,16163628
69,28855463
81,1090276541
64,9816063
64,10553449
74,45720271
60,14561706
72,43848704
55,6752585
67,29623790
64,10463105
70,44613748
71,48087114
62,11639010
64,14445530
70,39708306
63,8243277
34,375228
67,28058981
64,12277119
71,46695059
60,14478046
13,43031
70,48523478
70,38969157
60,9267960
60,12175232
61,13781956
7,24804
65,15330339
72,34966319
0,8906
67,22571693
75,93119666
72,33832244
62,9907951
58,6943567
2,5099
58,5201673
56,5133564
67,29160422
66,29713454
67,22117367
63,13104314
64,12596470
64,9193268
70,30218244
63,11922217
63,10256061
59,7074873
59,6206180
65,29380886
66,16906064
60,9309367
72,45121227
64,8518117
69,22772529
69,28631954
55,6307499
0,5720
71,45420282
70,39289265
71,43503649
64,12884090
66,22040939
61,14410942
66,22816550
66,25481142
63,10026514
67,26068825
67,21946748
66,19721213
63,8794880
59,5237335
56,5234376
60,12213780
69,22616449
