popularity,streams,year
71,49775907,1992
66,24095768,1992
73,31829132,1992
56,5203956,1992
81,1114906600,1992
73,42394087,1992
76,93658851,1992
67,26617822,1992
64,12102854,1992
69,20202614,1992
68,26544198,1992
66,17431803,1992
65,18981422,1992
63,14075789,1992
75,74902277,1992
77,69948303,1992
56,5168442,1992
70,39670143,1992
72,43650488,1992
70,45401849,1992
10,38454,1992
64,14059206,1992
73,48912394,1992
63,10386422,1992
62,8849010,1992
57,7270294,1992
6,18085,1992
68,25984281,1992
63,10632753,1992
0,14731,1992
4,5388,1992
61,12528777,1992
61,11073530,1992
65,16724686,1992
62,8243661,1992
62,11075616,1992
70,34100017,1992
68,27472570,1992
68,24546168,1992
65,28467584,1992
59,7327212,1992
61,8207320,1992
60,8000901,1992
65,17260988,1992
63,13655145,1992
62,13111530,1992
71,37292411,1992
61,10105814,1992
63,10287738,1992
60,8232004,1992
76,75190548,1992
67,15743600,1992
61,11474827,1992
66,28809556,1992
57,5211243,1992
56,5958587,1992
1,11140,1992
69,17440871,1992
69,23909711,1992
55,6151285,1992
65,23360526,1992
62,13721063,1992
60,9819522,1992
59,6479441,1992
61,9565889,1992
58,6160712,1992
62,8306117,1992
58,7087884,1992
60,14484904,1992
63,10972088,1992
59,6311146,1992
67,17567098,1992
66,27614082,1992
5,19944,1992
49,5266877,1992
0,10755,1992
57,6603424,1992
54,5656215,1992
0,6554,1992
58,6283754,1992
57,6028879,1992
63,8314311,1992
62,14394822,1992
60,11739688,1992
71,46360577,1992
66,17476815,1992
72,30231928,1992
56,7480287,1992
52,5353758,1992
58,7567966,1992
64,9467053,1992
62,10123921,1992
58,7178220,1992
64,13988175,1992
72,46619819,1992
69,29755779,1992
43,1361389,1992
54,5146474,1992
57,7378991,1992
50,5944044,1992
2,6616,1992
64,12472631,1992
49,4456988,1992
61,11026145,1992
64,11172978,1992
59,7082857,1992
66,27546339,1992
53,5854821,1992
64,10945607,1992
68,20035308,1992
67,24581274,1992
60,8489527,1992
65,24046701,1992
53,4200156,1992
57,7569018,1992
62,9365312,1992
52,4394397,1992
62,8996736,1992
64,12198618,1992
1,12247,1992
60,13399119,1992
66,21597594,1992
64,9933351,1992
53,4751594,1992
67,18362091,1992
69,21779771,1992
60,11280396,1992
63,13446148,1992
54,4899479,1992
57,5575779,1992
61,8472429,1992
65,25462099,1992
65,27177386,1992
57,5120350,1992
50,5129998,1992
59,7322119,1992
71,32752392,1992
65,15861648,1992
63,11295069,1992
27,288811,1992
54,5166529,1992
75,82921490,1992
60,10849824,1992
47,5764863,1992
62,10260600,1992
52,4664071,1992
53,5060904,1992
44,1238377,1992
49,5692674,1992
0,8799,1992
58,7166381,1992
68,28839287,1992
62,9965736,1992
53,4448332,1992
66,27276233,1992
67,21206528,1992
50,5849182,1992
56,7560866,1992
57,6079281,1992
56,5383818,1992
49,6570901,1992
49,4515643,1992
52,5565227,1992
0,8601,1992
67,21471773,1992
65,27513983,1992
56,6886488,1992
55,5508325,1992
55,7455685,1992
68,16364509,1992
52,4967569,1992
57,5272873,1992
0,6651,1992
62,9683873,1992
60,11179910,1992
63,8551019,1992
49,5127772,1992
64,13792162,1992
53,5487231,1992
70,44270815,1992
54,4161680,1992
1,6153,1993
81,888880241,1993
82,821686586,1993
1,13563,1993
78,50671773,1993
84,1126716548,1993
62,14498016,1993
82,1036631295,1993
81,1068322948,1993
73,46369314,1993
80,1182999712,1993
67,19261721,1993
72,34309245,1993
73,37289358,1993
67,15405321,1993
71,44129724,1993
69,20638095,1993
78,58004238,1993
1,12471,1993
76,98437394,1993
73,30327903,1993
72,44837550,1993
76,51597706,1993
0,6119,1993
73,32926513,1993
77,55210813,1993
71,30967509,1993
66,29874113,1993
73,38113863,1993
71,49589280,1993
75,93103013,1993
68,16875728,1993
77,59064512,1993
74,40230424,1993
14,30944,1993
72,49214052,1993
69,27689171,1993
10,34635,1993
68,28079570,1993
56,7826887,1993
0,13294,1993
67,15021477,1993
0,11735,1993
65,19325658,1993
63,13921623,1993
72,33737330,1993
70,49201027,1993
59,5083937,1993
63,9904642,1993
64,8246771,1993
63,9615592,1993
76,83265521,1993
70,41493833,1993
67,25594995,1993
63,11926928,1993
59,7200195,1993
64,11687850,1993
66,29392636,1993
78,95011168,1993
56,7653225,1993
78,56169716,1993
56,5803471,1993
60,14347800,1993
59,7243253,1993
67,16349819,1993
76,83644828,1993
72,42249963,1993
63,10466749,1993
61,11401252,1993
73,37458642,1993
73,33466661,1993
69,19913645,1993
62,10803172,1993
57,7795179,1993
67,28210156,1993
57,7290589,1993
64,11589056,1993
72,36532942,1993
56,6804780,1993
53,5457771,1993
0,12308,1993
61,10128329,1993
0,10943,1993
63,11081743,1993
69,22394368,1993
66,15327803,1993
58,6419732,1993
63,10804624,1993
72,47641227,1993
80,1171390352,1993
63,8982467,1993
71,41251333,1993
62,11975602,1993
63,14421347,1993
74,32341722,1993
70,43112099,1993
75,58387221,1993
68,19900161,1993
63,14527020,1993
59,5235808,1993
60,12644918,1993
63,14552209,1993
59,7459051,1993
61,8686775,1993
53,5994132,1993
0,14514,1993
58,7050145,1993
58,7588531,1993
58,5761921,1993
64,13931432,1993
59,6798185,1993
0,12945,1993
61,8147439,1993
48,4415648,1993
58,5048097,1993
75,67668654,1993
64,9810970,1993
58,5383323,1993
66,22491901,1993
58,7698873,1993
72,32509204,1993
63,12720067,1993
68,15553822,1993
71,37407021,1993
0,10714,1993
64,11679828,1993
59,7536573,1993
52,5785872,1993
46,3621178,1993
12,47634,1993
57,6461270,1993
53,4744605,1993
68,16598892,1993
54,4017932,1993
57,6892666,1993
45,6589720,1993
65,28166297,1993
62,8913472,1993
55,6910819,1993
49,6885337,1993
65,20167840,1993
62,9713157,1993
68,16624890,1993
55,7225620,1993
61,13011673,1993
66,29718568,1993
54,4318323,1993
66,22383420,1993
64,9904173,1993
54,4246167,1993
68,19662578,1993
66,23109775,1993
59,5590155,1993
52,5191002,1993
54,4784850,1993
0,6130,1993
57,7838831,1993
53,4725416,1993
59,7156033,1993
60,10088812,1993
46,4014904,1993
56,7443200,1993
67,20474174,1993
61,14245627,1993
46,6556477,1993
49,3149059,1993
63,10194325,1993
0,13347,1993
52,4264618,1993
61,11224413,1993
56,5787667,1993
54,5125095,1993
65,27220710,1993
56,7341875,1993
0,13559,1993
51,4820142,1993
67,19058919,1993
65,16722756,1993
53,5039370,1993
0,12786,1993
51,4233062,1993
5,28938,1993
65,20042027,1993
64,9486778,1993
73,38492606,1993
53,4881921,1993
0,13432,1993
48,3748950,1993
46,6393844,1993
66,15544791,1993
63,12939308,1993
34,322381,1993
52,5748957,1993
55,6654383,1993
65,18718933,1993
63,14435701,1993
60,14549408,1993
55,5461448,1993
63,10082547,1993
61,9547719,1993
81,852328412,1994
67,16066600,1994
67,25051404,1994
78,65046771,1994
3,9244,1994
84,1148845943,1994
80,961489273,1994
73,48155400,1994
78,66715933,1994
83,1128882956,1994
70,48701556,1994
77,62570601,1994
82,1159026518,1994
74,46438266,1994
77,68122150,1994
78,79626816,1994
77,98996993,1994
3,11190,1994
72,41115392,1994
77,58427343,1994
0,12600,1994
70,47498975,1994
70,45595850,1994
68,21867357,1994
66,22169666,1994
72,39348849,1994
71,37565589,1994
78,91259400,1994
74,42242740,1994
56,6863034,1994
71,37813071,1994
72,34631529,1994
71,36442375,1994
61,12074381,1994
64,14062088,1994
70,30090569,1994
66,23587274,1994
62,8711185,1994
73,35303774,1994
65,24031595,1994
64,14826289,1994
66,28473373,1994
75,79928956,1994
68,23423215,1994
73,37732623,1994
71,40119812,1994
72,35583725,1994
69,25384591,1994
70,36730916,1994
63,14943522,1994
66,16016847,1994
70,33026495,1994
64,8284157,1994
56,6322115,1994
76,98979199,1994
68,17221004,1994
67,18393387,1994
65,21446019,1994
70,43513056,1994
82,856467894,1994
60,9529974,1994
68,16348856,1994
64,8183046,1994
69,25968425,1994
67,18463569,1994
62,9453491,1994
82,1018898776,1994
70,46532602,1994
34,481179,1994
61,12437237,1994
74,41881005,1994
57,7484280,1994
60,13859729,1994
68,18253930,1994
70,42012586,1994
66,26394108,1994
71,48898953,1994
54,4061209,1994
57,7085873,1994
60,8695298,1994
72,46942846,1994
72,36684571,1994
58,7054721,1994
65,26810350,1994
57,6206115,1994
68,15979170,1994
72,38384599,1994
66,27146889,1994
78,95340946,1994
64,10688624,1994
58,7890466,1994
62,13347527,1994
63,11650669,1994
65,18784860,1994
65,22979051,1994
64,9255600,1994
57,5091640,1994
75,99945388,1994
49,3168090,1994
60,12779090,1994
72,41521367,1994
61,8446830,1994
62,9454105,1994
72,44320801,1994
64,10563165,1994
55,6663551,1994
68,21507026,1994
58,7111955,1994
81,1060335074,1994
64,12967152,1994
80,865336123,1994
71,48839575,1994
66,16276345,1994
66,29724649,1994
74,37725229,1994
74,35046448,1994
64,8853783,1994
58,7245389,1994
62,12579785,1994
76,89036458,1994
59,7008969,1994
68,17012734,1994
62,13368832,1994
63,12382923,1994
52,4337935,1994
70,47300480,1994
58,6574425,1994
45,4703637,1994
67,18728138,1994
51,4447822,1994
65,19712218,1994
71,41033162,1994
56,6768311,1994
65,17873492,1994
63,9851572,1994
58,6887776,1994
58,7606434,1994
67,26053553,1994
63,11548183,1994
70,37578518,1994
66,24206880,1994
63,11006398,1994
66,25957553,1994
59,7843330,1994
0,6922,1994
64,11097723,1994
58,5521197,1994
60,8812333,1994
0,11546,1994
68,22254883,1994
59,6240833,1994
60,10987790,1994
55,6468375,1994
52,4648277,1994
65,16152695,1994
57,6068674,1994
69,21448268,1994
59,6108323,1994
61,12416474,1994
56,7668091,1994
64,10685845,1994
56,7139703,1994
66,20374928,1994
0,10797,1994
0,8103,1994
60,13321074,1994
71,35998814,1994
61,13858438,1994
56,7307173,1994
55,6044973,1994
59,7245536,1994
67,27306806,1994
59,7918965,1994
58,6253411,1994
53,4001133,1994
53,4959271,1994
69,27058223,1994
54,5137886,1994
0,12099,1994
56,6402229,1994
64,10626825,1994
51,5389074,1994
55,7163782,1994
56,7357624,1994
69,29221133,1994
64,14007035,1994
59,7156783,1994
59,7580624,1994
62,13642493,1994
56,7205054,1994
63,12923943,1994
62,8806615,1994
62,9982014,1994
1,12915,1994
0,14772,1994
62,8328748,1994
56,6879169,1994
63,12092514,1994
0,7086,1994
49,3374859,1994
73,40795747,1995
15,66952,1995
80,1101473336,1995
75,53650269,1995
75,54483771,1995
73,43310336,1995
77,51471648,1995
77,88776324,1995
74,41062019,1995
72,45911037,1995
79,90116269,1995
72,34911964,1995
69,18174699,1995
73,30654808,1995
80,1010141919,1995
81,925363352,1995
74,32762460,1995
71,30395466,1995
72,40838272,1995
3,14241,1995
76,73482350,1995
75,51361304,1995
69,28651823,1995
63,13100664,1995
5,26966,1995
69,16805011,1995
76,81496504,1995
68,28650957,1995
66,25270554,1995
0,9650,1995
69,22262643,1995
0,12108,1995
70,44749729,1995
70,37528002,1995
70,39101623,1995
67,16369049,1995
66,24256510,1995
2,6535,1995
62,9382475,1995
66,16105002,1995
69,16991514,1995
70,47504770,1995
64,14674027,1995
73,37327464,1995
62,10279330,1995
78,52461078,1995
65,24026222,1995
71,30888881,1995
68,29947852,1995
66,25524465,1995
71,42477269,1995
64,13689847,1995
71,47788451,1995
71,41998881,1995
66,15915649,1995
62,12746363,1995
71,49363148,1995
0,12073,1995
76,68508370,1995
63,8474242,1995
52,4285990,1995
72,38450192,1995
61,8701871,1995
68,15807474,1995
64,9121459,1995
72,46896859,1995
61,9762907,1995
62,10394657,1995
0,7080,1995
64,9199926,1995
64,8366509,1995
68,18712007,1995
64,9088467,1995
75,95238098,1995
63,12779694,1995
63,10168761,1995
60,12108047,1995
0,8167,1995
59,5778699,1995
59,7517906,1995
71,42841566,1995
61,11425878,1995
66,21554625,1995
54,5320985,1995
68,26828274,1995
43,1313036,1995
69,22295890,1995
69,16595178,1995
60,13174799,1995
61,8569097,1995
0,11752,1995
56,7324180,1995
75,87071362,1995
75,65294753,1995
71,48112847,1995
0,7950,1995
5,28729,1995
61,8757273,1995
66,24221453,1995
57,7278985,1995
65,20713173,1995
55,7773300,1995
60,11786011,1995
0,7929,1995
68,15694883,1995
60,10844242,1995
65,23127947,1995
63,13021162,1995
64,12875947,1995
58,7114037,1995
58,6588720,1995
52,5291923,1995
63,9453565,1995
0,10160,1995
60,12248768,1995
64,13469480,1995
60,12331465,1995
39,782480,1995
0,12558,1995
0,10612,1995
54,5596646,1995
62,14029555,1995
59,7495185,1995
61,9819432,1995
62,11330398,1995
1,9319,1995
65,25596869,1995
63,11001810,1995
56,6603382,1995
65,24516602,1995
74,40235811,1995
56,6915594,1995
66,17820969,1995
69,28295766,1995
68,21977465,1995
70,36552204,1995
64,11219864,1995
58,5545996,1995
57,6867160,1995
67,17786924,1995
59,5212386,1995
69,25985492,1995
70,49640639,1995
0,12105,1995
59,6456958,1995
62,14604977,1995
3,6121,1995
62,9115209,1995
56,6952010,1995
56,6152298,1995
0,6870,1995
73,30624189,1995
58,7989906,1995
48,5200881,1995
56,7617262,1995
59,5204787,1995
57,6515918,1995
64,8931769,1995
59,7813078,1995
51,4645514,1995
57,5000462,1995
79,96315774,1995
54,4422425,1995
60,8840683,1995
69,25030028,1995
59,7348125,1995
62,13088467,1995
62,14304327,1995
71,49014381,1995
58,5972842,1995
54,4523236,1995
64,9083682,1995
68,24712575,1995
0,14266,1995
54,5806786,1995
70,35264393,1995
56,5981360,1995
62,14057502,1995
66,15592224,1995
53,5203622,1995
55,6266218,1995
48,5582157,1995
58,7472954,1995
57,6433668,1995
56,6987508,1995
63,8906974,1995
48,5112949,1995
65,15947090,1995
57,6607328,1995
63,11836561,1995
56,5709117,1995
59,7180053,1995
56,7007151,1995
55,5659118,1995
69,28230942,1995
55,7112523,1995
75,65256202,1995
47,3199836,1995
61,8457858,1995
55,5888825,1995
80,897287535,1996
1,5851,1996
76,54759426,1996
80,921887680,1996
77,50850924,1996
84,871685602,1996
78,60334703,1996
81,1125835449,1996
1,13949,1996
66,25925123,1996
76,89063339,1996
74,48195352,1996
74,43447599,1996
76,68191539,1996
77,98654353,1996
69,27911194,1996
69,21145334,1996
72,30055341,1996
69,21657876,1996
70,40734393,1996
73,36254938,1996
71,37846932,1996
76,84909897,1996
69,27952591,1996
63,13471909,1996
65,23598695,1996
73,36345986,1996
1,6629,1996
67,29972800,1996
66,26894751,1996
65,17122106,1996
69,18276829,1996
76,94695332,1996
76,79343485,1996
69,23828806,1996
71,34146092,1996
4,8158,1996
0,14384,1996
0,14578,1996
0,13367,1996
64,13482352,1996
66,21125262,1996
65,26707205,1996
71,43403382,1996
73,37428153,1996
53,4549784,1996
69,22652187,1996
63,11165713,1996
62,13025366,1996
66,29645965,1996
66,27680762,1996
71,31325654,1996
55,7073544,1996
55,5753340,1996
74,44647266,1996
75,73215029,1996
69,23696847,1996
0,14183,1996
82,1164613364,1996
65,29064153,1996
74,39161981,1996
62,9283234,1996
61,12283722,1996
67,28346834,1996
65,20343765,1996
74,48448555,1996
66,17564754,1996
63,11268220,1996
74,44484534,1996
65,24110535,1996
59,7364607,1996
59,7921058,1996
69,24996106,1996
65,23856174,1996
61,10361711,1996
0,5636,1996
73,48344829,1996
64,11679878,1996
66,28409854,1996
61,10740711,1996
59,6661995,1996
62,11904305,1996
58,6738627,1996
63,9496657,1996
71,31309306,1996
68,28046122,1996
70,31835667,1996
60,11657261,1996
59,7860901,1996
71,44946815,1996
68,29816061,1996
54,4496384,1996
69,28402489,1996
77,85167405,1996
59,7033305,1996
61,8596616,1996
64,8404502,1996
54,4721307,1996
70,31667150,1996
65,22014417,1996
64,8012678,1996
66,21439823,1996
59,6637947,1996
65,17875647,1996
59,5525293,1996
56,6593491,1996
67,17417035,1996
61,14719913,1996
75,60841089,1996
56,5196485,1996
59,6032970,1996
56,7308619,1996
0,11992,1996
70,35108489,1996
56,7059657,1996
53,4665030,1996
57,7222452,1996
60,10498234,1996
59,5544151,1996
57,6839091,1996
54,5649225,1996
62,14860600,1996
53,5931275,1996
73,46125670,1996
0,14318,1996
56,7974040,1996
59,5297745,1996
62,14259959,1996
68,19271693,1996
55,6074777,1996
56,6910636,1996
62,12332785,1996
66,26831560,1996
51,4834360,1996
67,29064302,1996
70,38974393,1996
67,23460653,1996
67,19445609,1996
57,6292807,1996
62,8535998,1996
56,5070658,1996
70,34381499,1996
70,31937689,1996
61,12513700,1996
69,29493463,1996
63,14281653,1996
64,8474021,1996
57,5271117,1996
47,3748578,1996
58,6572533,1996
54,5761702,1996
56,6292651,1996
68,29834384,1996
64,8049293,1996
0,7391,1996
61,11464130,1996
73,42157738,1996
52,4779002,1996
56,6496300,1996
62,8612025,1996
1,9562,1996
70,39463066,1996
0,11799,1996
56,6356045,1996
58,5156526,1996
58,5946308,1996
61,11419561,1996
56,7151501,1996
61,9741159,1996
57,5869224,1996
58,7488939,1996
59,7950177,1996
55,5416827,1996
64,10558428,1996
62,10909673,1996
0,10012,1996
60,13580398,1996
60,14915958,1996
61,9572569,1996
73,45199613,1996
53,5136221,1996
53,5299518,1996
57,6755052,1996
59,7216668,1996
64,13934562,1996
0,9126,1996
59,5676556,1996
44,1312663,1996
53,4401858,1996
66,16438486,1996
65,24396594,1996
60,11009800,1996
67,27208231,1996
52,5900707,1996
55,6348260,1996
55,6561761,1996
58,7178922,1996
53,5467198,1996
53,4536264,1996
61,10681214,1996
76,74145312,1997
87,1756763411,1997
2,5727,1997
82,1003555741,1997
84,995486180,1997
83,1126044693,1997
77,54000006,1997
71,48183594,1997
77,81592020,1997
69,21599696,1997
76,75915854,1997
75,74079948,1997
84,817978350,1997
72,45424614,1997
70,36440456,1997
73,48428862,1997
69,18289387,1997
83,1199806918,1997
70,47270128,1997
73,38211568,1997
67,17556093,1997
74,34785625,1997
79,93299879,1997
1,8790,1997
0,6176,1997
66,26059336,1997
77,90721710,1997
68,18796457,1997
67,18021871,1997
77,61012498,1997
68,18227736,1997
75,71128663,1997
72,49772695,1997
79,81722207,1997
77,75413966,1997
65,22784684,1997
65,22286319,1997
70,45255614,1997
64,11165578,1997
70,35958845,1997
72,33082878,1997
71,35272130,1997
72,33482575,1997
0,12753,1997
67,18215463,1997
65,19303528,1997
75,62307686,1997
0,13142,1997
65,17331223,1997
67,22450075,1997
64,13747925,1997
70,44722365,1997
57,6385428,1997
62,11861387,1997
62,10250585,1997
66,21073510,1997
75,62120201,1997
63,9801760,1997
0,7280,1997
72,42180388,1997
64,13436063,1997
66,24468555,1997
68,17883317,1997
62,9045338,1997
56,7667063,1997
70,35093628,1997
79,98188188,1997
62,8861126,1997
73,44941899,1997
65,19300138,1997
0,10431,1997
71,38900943,1997
67,21205108,1997
66,26374502,1997
71,40070217,1997
64,14357941,1997
66,16548822,1997
68,26865432,1997
78,92418102,1997
66,29929052,1997
69,24965473,1997
68,16796393,1997
71,44593561,1997
49,5407910,1997
77,82443314,1997
79,92170086,1997
66,20512914,1997
70,38837110,1997
3,8608,1997
61,12462180,1997
69,24039891,1997
0,14640,1997
60,10595322,1997
79,52523641,1997
58,7386629,1997
55,5431011,1997
66,23674522,1997
2,12806,1997
0,14186,1997
61,10435817,1997
79,72510963,1997
63,13981795,1997
57,5151828,1997
73,46960649,1997
70,32932291,1997
61,10211695,1997
64,8745644,1997
73,48124318,1997
50,4543256,1997
72,47933535,1997
65,18138769,1997
55,7901384,1997
58,5964515,1997
56,7210851,1997
62,8939805,1997
63,12242950,1997
74,35038573,1997
0,6610,1997
1,10074,1997
60,9470700,1997
62,10572684,1997
56,7369729,1997
68,29723116,1997
63,8106234,1997
58,7270553,1997
55,5849396,1997
60,8387250,1997
58,6189089,1997
53,4802531,1997
56,7508968,1997
60,14786517,1997
49,4913538,1997
55,5243012,1997
56,6354720,1997
59,7878914,1997
60,13374618,1997
66,19676398,1997
61,12048686,1997
61,13321733,1997
71,40638114,1997
64,8070273,1997
65,29620140,1997
57,7782383,1997
58,7027952,1997
60,13373291,1997
57,7176882,1997
69,15550948,1997
51,5466525,1997
53,5407108,1997
41,1439339,1997
56,6379727,1997
61,10996749,1997
0,13725,1997
64,12661567,1997
68,29984197,1997
56,7063647,1997
70,48306618,1997
56,7571053,1997
54,4285694,1997
58,6927808,1997
58,5351623,1997
58,7365340,1997
71,36592975,1997
77,86202062,1997
63,10504453,1997
0,9021,1997
